state_abbrev,fips,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
TX,293,36.604127613554439,35.70628342245989,60.174545454545445,49.182210338680932,15.15991978609626,27.164688057041001,24.017754010695189,28.37759552992069,13.560751622206194,23.09276315789473
CT,013,30.832685592462369,56.468417869282796,71.511251164309812,63.849963104987509,16.187560937254304,20.038759117906746,18.260819916048732,49.344577722778332,26.818156756558071,44.877733805457204
SC,089,40.404749787955907,73.521559584393557,59.725736853265495,51.909351145038158,7.6659828244274824,26.923706530958448,25.700339270568278,68.701219253604776,31.894985156912643,61.884536683630202
CA,043,44.399792008757515,39.404915161466874,74.273946360153246,63.793464696223324,6.9398357963875217,30.29251231527094,42.68448823207445,36.82498084291187,17.853180076628362,32.533103448275867
GA,087,37.898124333925409,51.025421219598165,59.007127247092008,50.909792033838578,11.460183292210088,19.398265773704619,23.979005992245344,44.417122557726458,20.621193605683835,44.165719360568374
MT,007,44.791383219954639,25.133391652086978,76.321144713821553,66.192151962009504,16.497100724818797,28.676605848537861,38.007698075481137,22.747442680776011,9.7276392038296784,18.647921390778535
AL,095,36.376580082238483,15.999912323429125,62.662139308329273,49.908128592303925,8.4321928884559174,27.161946419873331,22.004241597661952,20.320736134790899,8.217161769130481,14.246262160264774
NC,031,39.026137583049838,31.35519146719809,69.044946669988022,59.960209696777554,12.994753051473081,31.827081682103273,27.390923707511508,34.925635288476911,15.519336057900858,28.457460215986679
IL,067,39.278389868837635,39.067082767978292,68.329950248756219,58.598227046585265,12.113930348258702,30.549841700587976,29.653016734509265,28.253432835820902,10.7270737222976,21.552826775214836
ID,043,44.1015678588927,11.007545320921116,67.510550383798773,58.05422178670586,21.798726114649678,30.907545320921116,35.221035440143723,16.245810877021061,7.8426098317818065,12.835701453535849
TN,103,34.65867981564994,30.888930730353778,60.291105935982564,50.716475076801117,3.8294718065603024,21.555623823208812,24.201565751659899,28.14805986421527,11.04674166212399,20.569170920263637
