geoid,age,race,population,registered,reg_frac
01081,35-64,White,37210,25341,0.6810266057511422
01081,35-64,Hispanic,1748,394,0.22540045766590389
01081,65+,Native American,74,19,0.25675675675675674
01081,65+,Asian,383,188,0.4908616187989556
01081,65+,Black,3464,3063,0.8842378752886836
01081,65+,Other,1,263,263.0
01081,65+,White,14538,13505,0.9289448342275416
01081,65+,Hispanic,260,78,0.3
01083,18-34,Native American,155,36,0.23225806451612904
01083,18-34,Asian,249,112,0.4497991967871486
01083,18-34,Black,2906,1658,0.5705437026841018
01083,18-34,Other,733,142,0.1937244201909959
01083,18-34,White,14635,9743,0.665732832251452
01083,18-34,Hispanic,1504,422,0.28058510638297873
01083,35-64,Native American,284,77,0.2711267605633803
01083,35-64,Asian,503,341,0.6779324055666004
01083,35-64,Black,5625,3627,0.6448
01083,35-64,Other,427,301,0.7049180327868853
01083,35-64,White,31025,21581,0.6956003223207091
01083,35-64,Hispanic,1418,396,0.27926657263751764
01083,65+,Native American,119,23,0.19327731092436976
01083,65+,Asian,157,71,0.45222929936305734
01083,65+,Black,1316,1170,0.8890577507598785
01083,65+,Other,33,92,2.787878787878788
01083,65+,White,12402,11256,0.9075955491049831
01083,65+,Hispanic,339,58,0.1710914454277286
01085,18-34,Native American,1,1,1.0
01085,18-34,Asian,1,4,4.0
01085,18-34,Black,1685,992,0.5887240356083087
01085,18-34,Other,1,2,2.0
01085,18-34,White,363,292,0.8044077134986226
01085,18-34,Hispanic,12,5,0.4166666666666667
01085,35-64,Native American,13,2,0.15384615384615385
01085,35-64,Asian,1,2,2.0
01085,35-64,Black,2865,2075,0.7242582897033158
01085,35-64,Other,1,4,4.0
01085,35-64,White,1007,744,0.7388282025819265
01085,35-64,Hispanic,15,7,0.4666666666666667
01085,65+,Native American,1,1,1.0
01085,65+,Asian,1,2,2.0
01085,65+,Black,1172,1000,0.8532423208191127
01085,65+,Other,1,3,3.0
01085,65+,White,684,602,0.8801169590643275
01085,65+,Hispanic,1,2,2.0
01087,18-34,Native American,8,4,0.5
01087,18-34,Asian,11,6,0.5454545454545454
01087,18-34,Black,4816,1638,0.34011627906976744
01087,18-34,Other,1,18,18.0
01087,18-34,White,598,320,0.5351170568561873
01087,18-34,Hispanic,68,12,0.17647058823529413
01087,35-64,Native American,4,1,0.25
01087,35-64,Asian,18,5,0.2777777777777778
01087,35-64,Black,5132,3034,0.5911925175370226
